Work Group,Location Name,Completed Date,Street Segment IDs
LONG LINE,  E 2ND ST from   N IH 35 NB  to   <br />COMAL ST ,6/26/2018 1:44," E 2ND ST (2019269)
 E 2ND ST (2019242)
 E 2ND ST (2019210)
 E 2ND ST (2019171)
 E 2ND ST (2019156)
 E 2ND ST (2019184)"
LONG LINE,100  WEST AVE from   W CESAR CHAVEZ ST  to   <br />W 2ND ST ,6/26/2018 20:01," W CESAR CHAVEZ ST (3426115)
 W CESAR CHAVEZ ST (3504328)"
LONG LINE,  NUCKOLS CROSSING RD from   VILLAGE SQUARE DR  to   <br />PLEASANT VALLEY DR ,6/27/2018 6:23," NUCKOLS CROSSING RD (2036546)
 NUCKOLS CROSSING RD (3303927)"
LONG LINE,  E WELLS BRANCH PKWY from   FM 1825 RD  to   <br />N HEATHERWILDE BLVD ,6/27/2018 7:37," W WELLS BRANCH PKWY (2038889)
 W WELLS BRANCH PKWY (3375251)
 W WELLS BRANCH PKWY (3325933)
 W WELLS BRANCH PKWY (3325930)
 W WELLS BRANCH PKWY (3325922)
 W WELLS BRANCH PKWY (3325920)
 W WELLS BRANCH PKWY (3325916)
 W WELLS BRANCH PKWY (5425623)
 W WELLS BRANCH PKWY (5425621)
 W WELLS BRANCH PKWY (5425617)
 W WELLS BRANCH PKWY (5425615)
 W WELLS BRANCH PKWY (5425613)
 W WELLS BRANCH PKWY (5414846)
 W WELLS BRANCH PKWY (5316002)"
LONG LINE,  W 2ND ST from   WEST AVE  to 20190365076959  <br />BRAZOS ST ,6/27/2018 8:20," W 2ND ST (2019010)
 W 2ND ST (2018990)
 W 2ND ST (2018946)
 E 2ND ST (2019036)
 W 2ND ST (3296886)
 W 2ND ST (5076959)
 W 2ND ST (3264436)"
LONG LINE, S PLEASANT VALLEY RD /  ELMONT DR,7/2/2018 14:43, S PLEASANT VALLEY RD (2022755)
LONG LINE, MENCHACA RD /  FORT VIEW RD,7/3/2018 1:51, MENCHACA RD (2024102)
LONG LINE, GREENWOOD AVE /  PERSHING DR,7/3/2018 2:00, PERSHING DR (2040927)
LONG LINE, SOUTHWEST PKWY /  REPUBLIC OF TEXAS BLVD,7/3/2018 2:05, SOUTHWEST PKWY (3189482)
LONG LINE,  PERSHING DR from   E MARTIN LUTHER KING JR BLVD  to   <br />E M FRANKLIN AVE ,7/3/2018 7:13," PERSHING DR (2017627)
 PERSHING DR (2017621)
 PERSHING DR (2017553)
 PERSHING DR (2017500)
 PERSHING DR (2040936)
 PERSHING DR (2040927)
 PERSHING DR (2040906)
 PERSHING DR (2038406)"
LONG LINE,  PINEHURST DR from   WILD DUNES DR  to   <br />PINEHURST DR ,7/3/2018 14:29," PINEHURST DR (2028211)
 PINEHURST DR (2028209)
 PINEHURST DR (2028208)
 PINEHURST DR (2028207)
 PINEHURST DR (2028204)
 PINEHURST DR (2028201)
 PINEHURST DR (2028190)
 PINEHURST DR (2028183)
 PINEHURST DR (2028169)
 PINEHURST DR (2028165)
 PINEHURST DR (2028154)
 PINEHURST DR (2028153)
 PINEHURST DR (2028152)
 PINEHURST DR (2028149)
 PINEHURST DR (2028147)
 PINEHURST DR (2028568)
 PINEHURST DR (2028567)
 S PINEHURST DR (2028564)
 PINEHURST DR (2028310)
 PINEHURST DR (2028309)
 PINEHURST DR (2028307)
 PINEHURST DR (2028292)
 PINEHURST DR (2028281)
 PINEHURST DR (2028267)
 PINEHURST DR (2028249)
 PINEHURST DR (2028233)
 PINEHURST DR (2042272)
 S PINEHURST DR (2042269)
 PINEHURST DR (2042280)"
LONG LINE,  LA COSTA DR from   PINEHURST DR  to   <br />RIVER PLANTATION DR ,7/3/2018 14:32," LA COSTA DR (2028203)
 LA COSTA DR (2028200)
 LA COSTA DR (2028192)
 LA COSTA DR (2028188)"
LONG LINE,  W 24TH ST from   N LAMAR BLVD  to   <br />WINDSOR RD ,7/5/2018 10:59, W 24TH ST (2040909)
LONG LINE,  OHLEN RD from   N US 183 HWY NB  to   <br />PAYTON GIN RD ,7/5/2018 13:32, OHLEN RD (2012650)
LONG LINE,  BOCA RATON DR from   S IH 35 SB  to   <br />PINEHURST DR ,7/9/2018 19:40," BOCA RATON DR (2035335)
 CROWN COLONY DR (2028265)
 BOCA RATON DR (2028243)
 CROWN COLONY DR (2042245)"
LONG LINE,5200 WOODROW AVE /  W NORTH LOOP BLVD,7/10/2018 10:28, WOODROW AVE (2012268)
LONG LINE, E 12TH ST /  CHICON ST,7/15/2018 13:07, E 12TH ST (2018319)
LONG LINE,  RIVER PLANTATION DR from   PINEHURST DR  to   <br />BRADSHAW RD ,7/15/2018 14:04," RIVER PLANTATION DR (2028210)
 RIVER PLANTATION DR (2028521)
 RIVER PLANTATION DR (2028520)
 RIVER PLANTATION DR (2028302)
 RIVER PLANTATION DR (2028290)
 RIVER PLANTATION DR (2028280)
 RIVER PLANTATION DR (2028262)
 RIVER PLANTATION DR (2028226)"
LONG LINE,  RALPH ABLANEDO DR from   CULLEN AVE  to   <br />S CONGRESS AVE ,7/15/2018 14:23," SHALLOT WAY (3283080)
 CHICK PEA LN (3283068)
 RALPH ABLANEDO DR (3283062)
 RALPH ABLANEDO DR (3283061)"
LONG LINE,  CROWN COLONY DR from   S IH 35 NB  to   <br />ONION CREEK PKWY ,7/31/2018 9:07, CROWN COLONY DR (2042245)
